Name_of_settler;;Native_soil;First_mention _ of_person_in_ Denmark;;Type_of_Religion;;Marital_Status_at_time_ of_immergration;;Number_of_chrilden_at_the_time_of_immigration;;After_settling_in_ Denmark;;gps_Longitude;;gps_Latitude ;
Frank, Johann Thomas ;;Kurmaintz;1760;;Lutheran;;Married ;;2;;Remained in Denmark ;;Na;;Na;
Frantz, Jacob;;Schwetzingen Kurpfalz;1760;;Reformed ;;Married ;;3;;Travelpas to Russia ;;49,383244;;8,571813;
Frichel, Johann Caspar;;Kurmaintz;1760;;Catholic ;;Married ;;1;;Remained in Denmark ;;na;;Na;
Fuchs, Valentin;;Altenbach Kurpfalz;1759;;Lutheran;;Married ;;0;;Depated from the country;;49,486626;;8,736902;
Fuhrmann, Heinrich Jacob;;Zweibruck;1761;;Lutheran;;Married ;;1;;Travelpas to Russia ;;49,242575;;7,362032;
Fuhrmann, Johann Valentin;;Zweibruck Kurpfalz;1761;;Lutheran;;Married ;;0;;Depated from the country;;49,242575;;7,362032;
Gabler, Johann Thomas;;Bayerland;1761;;Lutheran;;Married ;;0;;Depated from the country;;Na;;Na;
Gangnus, Caspar Phillip;;Schwaben;1760;;Lutheran;;Unmarried ;;0;;Travelpas to Russia ;;48,160452;;10,470102;
Gangnus, Juhann Georg ;;Schwaben;1760;;Lutheran;;Married ;;7;;Travelpas to Russia ;;48,160452;;10,470102;
Gangnus, Philip Gustav;;Schwaben;1760;;Lutheran;;Unmarried ;;0;;Travelpas to Russia ;;48,160452;;10,470102;
Gantzhorn, Adam;;Bammental Kurpfalz ;1764;;Reformed ;;Married ;;1;;Remained in Denmark ;;49,352442;;8,777502;
Geist, Adam;;Linnewald county Weinheim, Odenwald;1759;;Reformed ;;Not mentioned ;;0;;Depated from the country;;49,541936;;8,665821;
Gembert, Johann Leonhard;;Heilichkreuzsteinach Kurpfalz;1760;;Lutheran;;Married ;;0;;Travelpas to Russia ;;49,507593;;8,786252;
Gerich, Sebastian;;Kurpfalz;1760;;Reformed ;;Married ;;2;;Travelpas to Russia ;;49,408914;;8,107543;
Gradulf, Luswig;;Not mentioned ;1761;;Lutheran;;Married ;;2;;Depated from the country;;Na;;Na;
Gramlich, Johann Adam;;Schwaben;1760;;Catholic ;;Married ;;0;;Depated from the country;;48,160452;;10,470102;
Grünsteidel, Johann Georg;;Ansbach;1760;;Catholic ;;Married ;;0;;Depated from the country;;49,297576;;10,569725;
Güterich, Johann Christian;;Erbach Hessen;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,657067;;8999074,000000;
Güttle, Johann Michael;;Not mentioned ;1760;;Lutheran;;Married ;;1;;Depated from the country;;Na;;Na;
Haas, Leonhard;;Venninger County;1760;;Not mentioned ;;Married ;;3;;Depated from the country;;Na;;Na;
Haase, Lorentz Peter ;;Not mentioned ;1761;;Not mentioned ;;Not mentioned ;;2;;Depated from the country;;Na;;Na;
Halle, Conrad;;Zwingenberg Kurpfalz;1760;;Reformed ;;Married ;;0;;Depated from the country;;49,721303;;8,610098;
Handschue, Johannes;;Wembach Hessen-Darmstadt;1760;;Lutheran;;Not mentioned ;;4;;Depated from the country;;49,827757;;8,843913;
Harritz, Christian;;Erbach Hessen;1760;;Lutheran;;Not mentioned ;;not mentioned;;Depated from the country;;49,657067;;8,999074;
Harritz, Damuel;;Erbach Hessen;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;49,657067;;8,999074;
Hassenfuss, Diderich;;Marsenbach Schwaben;1760;;Lutheran;;Married ;;7;;Travelpas to Russia ;;48,160452;;10,470102;
Hassenfuss, Georg Reinhart;;Marsenbach Schwaben;1760;;Lutheran;;Married ;;0;;Died in Denmark ;;48,160452;;10,470102;
Hasenfuss, Johann Adam;;Marsenbach Schwaben;1763;;Lutheran;;Unmarried ;;not mentioned;;Travelpas to Russia ;;48,160452;;10,470102;
Hasenfuss, Johann Diderich jun. ;;Marsenbach Schwaben;1761;;Lutheran;;Married ;;0;;Travelpas to Russia ;;48,160452;;10,470102;
Heiligenstadt, Casper;;Not mentioned ;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;Na;;Na;
Helmut, Christopher ;;Heidelberg Kurpfalz;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,394154;;8,671669;
Helmut, Johann Peter;;Heidelberg Kurpfalz;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,394154;;8,671669;
Helmut, Michael;;Wieblingen Kurpfalz;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,425963;;8,643823;
Helwig, Peter;;Würzburg ;1756;;Catholic ;;Not mentioned ;;3;;Depated from the country;;49,788914;;9,955043;
Helwig, Philip;;Würzburg ;1761;;Catholic ;;Not mentioned ;;0;;Depated from the country;;49,788914;;9,955043;
Hemmer, Johann Peter;;Lichtenberg Hessen;1760;;Catholic ;;Married ;;0;;Depated from the country;;49,770766;;8,803810;
